x0	y0	theta0	kappa0	dk	L
        -23.19378166	        -159.5901677	        -1.938870459	                   0	                   0	            9.315692
        -26.54574672	        -168.2819136	        -1.938870459	            0.005532	                   0	           69.696126
        -38.62548363	         -236.485668	         -1.55331149	                   0	                   0	            8.578818
        -38.47549205	        -245.0631747	         -1.55331149	            0.011038	                   0	           35.174598
        -31.13381952	        -279.2375473	        -1.165054278	                   0	                   0	            4.061354
        -29.53080038	        -282.9691591	        -1.165054278	            0.005167	                   0	           25.657338
        -17.87312303	        -305.8040878	        -1.032482812	                   0	                   0	            4.407387
        -15.61350531	        -309.5881581	        -1.032482812	           -0.093196	                   0	            9.584562
        -14.76479391	        -318.8183058	        -1.925725652	                   0	                   0	           10.380151
        -18.37214651	        -328.5514729	        -1.925725652	           -0.143758	                   0	           10.951245
        -27.33516444	        -332.6480337	        -3.500054731	                   0	                   0	           68.584559
        -91.56031653	        -308.5862056	        -3.500054731	           -0.083657	                   0	           23.339162
        -96.19271919	        -289.3309588	        -5.452539006	                   0	                   0	            5.609678
        -92.40955967	        -285.1889555	        -5.452539006	            0.027408	                   0	           26.928461
        -82.86379142	        -260.6594777	        -4.714483747	                   0	                   0	           23.846696
        -82.81383818	         -236.812834	        -4.714483747	           -0.003647	                   0	           77.431314
        -71.79327853	        -160.4294721	         -4.99687575	                   0	                   0	           24.645739
          -64.876085	        -136.7743483	         -4.99687575	           -0.002587	                   0	           86.529164
        -31.53590934	        -57.12187905	        -5.220726697	     0.0008262109394	    -3.249313109e-05	         65.25042872
