X	Y	THETA
        -19.98884999	        -331.0656123	        -2.358807077
        -29.26784144	        -331.9239601	        -3.500054731
        -38.63458879	        -328.4147264	        -3.500054731
        -48.00133614	        -324.9054928	        -3.500054731
        -57.36808349	        -321.3962591	        -3.500054731
        -66.73483083	        -317.8870255	        -3.500054731
        -76.10157818	        -314.3777918	        -3.500054731
        -85.46832553	        -310.8685582	        -3.500054731
        -94.61037321	        -306.9011396	        -3.792606338
        -99.27901238	        -298.3834484	        -4.629388284
        -96.08283144	        -289.2106479	        -5.452539006
        -89.55485502	        -281.6422673	        -5.327673713
         -84.9661832	        -272.7896009	        -5.053524275
        -82.94553834	        -263.0252471	        -4.779374836
        -82.84779802	        -253.0245576	        -4.714483747
        -82.82684505	         -243.022046	        -4.714483747
        -82.77965414	        -233.0197104	        -4.728317941
        -82.43796721	        -223.0235696	        -4.764797181
        -81.73193686	        -213.0465408	        -4.801276421
        -80.66250251	        -203.1018994	         -4.83775566
        -79.23108715	        -193.2028776	          -4.8742349
         -77.4395954	         -183.362647	         -4.91071414
        -75.29041099	        -173.5943007	         -4.94719338
         -72.7863936	        -163.9108365	        -4.983672619
         -70.0020017	        -154.3037399	         -4.99687575
        -67.19464176	          -144.70325	         -4.99687575
        -64.38351783	        -135.1038668	        -5.001381243
        -61.40920774	        -125.5540724	        -5.027257797
        -58.18880519	        -116.0844314	        -5.053134351
        -54.72446643	        -106.7012842	        -5.079010906
        -51.01851105	        -97.41091344	         -5.10488746
        -47.07342038	        -88.21953957	        -5.130764014
        -42.89183591	        -79.13331674	        -5.156640568
        -38.47655744	        -70.15832871	        -5.182517122
        -33.83054128	        -61.30058477	        -5.208393677
        -28.99700741	        -52.54350041	        -5.216846574
        -24.18646802	        -43.77371234	        -5.211909372
        -19.40499376	        -34.98803334	        -5.210223129
        -14.62405329	        -26.20206368	        -5.211787846
        -9.815112365	        -17.43139842	        -5.216603523
        -4.949786855	        -8.691905278	         -5.22467016
    -2.735589533e-13	    -4.121147867e-13	        -5.235987756
